"lat"; "lon"; "s"; "alt"
51.633668;6.448249;79;15.17
51.633654;6.448263;81;13.653
51.63363;6.448267;84;13.653
51.633621;6.44827;85;13.653
51.6336;6.448261;88;10.6189995
51.633586;6.448277;93;9.101999
51.633579;6.44828;94;7.585
51.633577;6.448275;96;6.068
51.633574;6.448279;97;6.068
51.633574;6.448278;99;6.068
51.633602;6.448301;94;7.585
51.633618;6.448294;80;7.585
51.633619;6.448304;84;9.101999
51.63362;6.448301;88;9.101999
51.633621;6.4483;90;9.101999
51.633621;6.4483;91;9.101999
51.633621;6.4483;91;10.6189995
51.633629;6.448316;93;10.6189995
51.633628;6.448362;94;9.101999
51.633625;6.448374;93;10.6189995
51.633615;6.448385;87;12.136
51.633592;6.448373;88;13.653
51.633572;6.448406;83;13.653
51.633554;6.448447;81;15.17
51.63353;6.448481;78;16.687
51.633502;6.448514;69;15.17
51.633475;6.448554;74;12.136
51.63344;6.448608;79;10.6189995
51.633408;6.448637;81;10.6189995
51.633377;6.448659;78;12.136
51.633358;6.448691;77;10.6189995
51.633348;6.448745;76;12.136
51.633324;6.448795;73;12.136
51.633293;6.448816;74;13.653
51.633261;6.448844;74;12.136
51.633219;6.448873;77;12.136
51.633187;6.448909;80;10.6189995
51.633147;6.44896;81;12.136
51.633114;6.448991;82;10.6189995
51.633076;6.449039;83;12.136
51.633052;6.449066;82;10.6189995
51.633028;6.449107;83;10.6189995
51.632992;6.44913;86;10.6189995
51.632955;6.449132;87;10.6189995
51.632935;6.449127;89;9.101999
51.632922;6.449114;90;9.101999
51.632901;6.449096;92;9.101999
51.632874;6.449085;96;10.6189995
51.632848;6.44907;98;10.6189995
51.632831;6.449041;98;10.6189995
51.632816;6.449001;97;10.6189995
51.632798;6.448981;98;10.6189995
51.632769;6.448981;94;12.136
51.632737;6.448973;93;12.136
51.632705;6.448948;89;12.136
51.632696;6.448924;84;13.653
51.632669;6.448907;84;15.17
51.632629;6.448886;82;15.17
51.632604;6.448856;83;15.17
51.632577;6.448847;85;13.653
51.632563;6.448834;87;12.136
51.632536;6.4488;88;12.136
51.632516;6.448783;89;13.653
51.632479;6.448768;90;13.653
51.632469;6.448758;86;13.653
51.632456;6.448756;88;15.17
51.632434;6.448752;86;15.17
51.632411;6.448735;83;15.17
51.632376;6.448686;84;16.687
51.632359;6.448643;84;16.687
51.632348;6.448619;85;16.687
51.632343;6.448591;86;19.720999
51.6323;6.448535;90;18.203999
51.632264;6.448496;91;16.687
51.632224;6.44848;91;15.17
51.632182;6.448458;90;15.17
51.632142;6.448409;92;15.17
51.632128;6.448344;89;16.687
51.632123;6.44829;91;13.653
51.632107;6.44822;90;10.6189995
51.632111;6.44816;90;9.101999
51.632094;6.448106;87;9.101999
51.632068;6.448084;83;10.6189995
51.632038;6.448076;82;9.101999
51.632;6.448076;84;7.585
51.631983;6.44808;84;7.585
51.631961;6.448085;85;7.585
51.631934;6.448107;83;7.585
51.631901;6.448145;84;7.585
51.631878;6.448169;84;9.101999
51.631858;6.448187;82;7.585
51.631845;6.448197;80;9.101999
51.631826;6.44824;78;12.136
51.631799;6.448309;71;10.6189995
51.631774;6.448355;68;10.6189995
51.631751;6.448396;67;10.6189995
51.631731;6.448407;67;12.136
51.631712;6.448406;64;12.136
51.631691;6.448436;61;13.653
51.631671;6.448455;60;16.687
51.631633;6.448459;63;13.653
51.631581;6.448482;66;13.653
51.631535;6.448512;67;12.136
51.631492;6.448531;71;10.6189995
51.631453;6.44856;72;10.6189995
51.631431;6.448582;74;10.6189995
51.631402;6.448604;75;10.6189995
51.63139;6.448633;78;9.101999
51.631393;6.448659;75;9.101999
51.631399;6.448705;74;7.585
51.631374;6.448783;75;7.585
51.631342;6.448854;78;7.585
51.631331;6.448894;78;7.585
51.631319;6.448932;77;7.585
51.631313;6.448968;76;9.101999
51.631294;6.449036;77;9.101999
51.631273;6.449074;77;10.6189995
51.631257;6.449118;75;10.6189995
51.631229;6.44918;75;10.6189995
51.631197;6.449238;75;10.6189995
51.631177;6.449278;73;10.6189995
51.631165;6.449306;71;13.653
51.631128;6.449389;75;12.136
51.631101;6.449401;76;10.6189995
51.631079;6.449414;77;9.101999
51.631078;6.449445;75;9.101999
51.631049;6.449486;75;9.101999
51.631027;6.449521;74;9.101999
51.631001;6.449562;72;10.6189995
51.63099;6.449606;72;9.101999
51.630988;6.449638;72;9.101999
51.630983;6.449665;71;10.6189995
51.630955;6.449745;74;10.6189995
51.630938;6.449802;73;10.6189995
51.630911;6.449892;74;10.6189995
51.630894;6.449951;75;9.101999
51.630876;6.450014;76;7.585
51.630857;6.450072;76;9.101999
51.630846;6.450113;78;9.101999
51.63084;6.450154;77;9.101999
51.630844;6.450137;75;9.101999
51.630852;6.450111;75;9.101999
51.630865;6.450061;71;10.6189995
51.630903;6.450023;65;10.6189995
51.63094;6.450005;64;10.6189995
51.630976;6.449991;67;10.6189995
51.631004;6.449957;68;10.6189995
51.631034;6.449915;66;9.101999
51.63108;6.449888;65;9.101999
51.631115;6.449885;65;9.101999
51.631149;6.449882;60;9.101999
51.63119;6.44987;61;10.6189995
51.631222;6.449858;60;10.6189995
51.631249;6.449838;60;10.6189995
51.631273;6.449805;62;10.6189995
51.631323;6.449749;68;10.6189995
51.631355;6.449702;71;10.6189995
51.63137;6.449663;69;12.136
51.631377;6.449633;68;12.136
51.631387;6.449586;75;10.6189995
51.631408;6.449536;77;9.101999
51.631435;6.44949;78;9.101999
51.63147;6.44947;77;9.101999
51.631493;6.449425;78;9.101999
51.631515;6.449402;78;12.136
51.631529;6.449385;77;12.136
51.631547;6.449359;76;12.136
51.63158;6.449335;73;13.653
51.631614;6.449313;73;15.17
51.631663;6.449283;72;13.653
51.631683;6.44924;72;12.136
51.631691;6.449232;71;15.17
51.631712;6.449203;72;13.653
51.631737;6.449187;72;12.136
51.631773;6.449181;72;15.17
51.631822;6.449135;76;13.653
51.63186;6.449098;81;12.136
51.631907;6.449068;83;13.653
51.631949;6.449053;85;10.6189995
51.631961;6.449035;82;10.6189995
51.631982;6.449036;81;10.6189995
51.632003;6.449022;84;12.136
51.632025;6.449034;86;10.6189995
51.632063;6.449038;84;9.101999
51.632101;6.449055;83;10.6189995
